,Unnamed: 0.1,Unnamed: 0,ÃÂ¯ÃÂ»ÃÂ¿Country code,Postal code,Pnr (3),Place name,Region,Admin code 1,Admin name 2,Admin code 2,Admin name 3,Latitude,Longitude,Accuracy,Population City 231231,distance_borÃ¥s (meters),duration_borÃ¥s (seconds),distance_Sponvika (meters),duration_Sponvika (seconds),distance_Ãrje (meters),duration_Ãrje (seconds),distance_Örebro (meters),duration_Örebro (seconds)
54,54,54,SE,10225,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
55,55,55,SE,10226,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
56,56,56,SE,10227,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
57,57,57,SE,10228,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
58,58,58,SE,10229,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
59,59,59,SE,10231,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
60,60,60,SE,10232,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
61,61,61,SE,10233,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
62,62,62,SE,10234,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
63,63,63,SE,10235,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
64,64,64,SE,10239,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
65,65,65,SE,10240,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
66,66,66,SE,10241,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
67,67,67,SE,10242,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
68,68,68,SE,10243,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
69,69,69,SE,10244,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
70,70,70,SE,10245,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
71,71,71,SE,10246,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
72,72,72,SE,10247,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
73,73,73,SE,10248,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
74,74,74,SE,10249,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
75,75,75,SE,10251,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
76,76,76,SE,10252,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
77,77,77,SE,10253,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
78,78,78,SE,10254,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
79,79,79,SE,10261,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
80,80,80,SE,10262,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
81,81,81,SE,10263,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
82,82,82,SE,10264,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
83,83,83,SE,10265,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
84,84,84,SE,10266,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
85,85,85,SE,10267,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
86,86,86,SE,10268,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
87,87,87,SE,10269,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
88,88,88,SE,10270,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
89,89,89,SE,10271,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
90,90,90,SE,10272,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
91,91,91,SE,10273,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
92,92,92,SE,10274,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
93,93,93,SE,10301,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
94,94,94,SE,10302,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
95,95,95,SE,10303,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
96,96,96,SE,10304,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
97,97,97,SE,10305,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
98,98,98,SE,10306,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
99,99,99,SE,10307,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
100,100,100,SE,10310,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
